Name,Headquarters,Sector/Industry,Careers/Jobs Link,Internships
Street Plans,US/NY/New York,Design/Build,http://www.street-plans.com/our-firm/our-firm/,Unknown
Senozon,CH/Zurich,Data Science/Traffic Simulation,http://senozon.com/about-us,Unknown
Railinc,US/NC/Cary,Railroad,https://www.railinc.com/rportal/working-at-railinc,True
Herzog,US/MO/St. Joseph,Design/Build Rail,http://www.herzog.com/careers/,True
Hensel Phelps,US/VA/Chantilly,Design/Build,http://www.henselphelps.com/careers,True
Traffic Technology Services,US/OR/Portland,ITS,http://www.traffictechservices.com/careers.html,Unknown
Porsche Digital,US/CA/Santa Clara,Tech/Cars,,Unknown
Volkswagen Group Electronics Research Lab,US/CA/Belmont,Tech/Cars,,Unknown
Hyundai Ventures,US/CA/Menlo Park,Tech/Cars,,Unknown
General Motors Advanced Technology,US/CA/Palo Alto,Tech/Cars,,Unknown
Ford Silicon Valley Lab,US/CA/Palo Alto,Tech/Cars,,Unknown
Bosch Research and Technology Center North America,US/CA/Sunnyvale,Tech/Cars,,Unknown
Toyota InfoTechnology Center US,US/CA/Mountain View,Tech/Cars,,Unknown
Honda Innovations,US/CA/Mountain View,Tech/Cars,,Unknown
BMW Group Technology Office,US/CA/Mountain View,Tech/Cars,,Unknown
Delphi Labs,US/CA/Mountain View,Tech/Cars,,Unknown
Nissan Research Center,US/CA/Sunnyvale,Tech/Cars,,Unknown
Mercedes-Benz Research & Development North America,US/CA/Sunnyvale,Tech/Cars,,Unknown
Continental Tire Company,US/CA/San Jose,Tech/Cars,,Unknown
nuTonomy,US/MA/Cambridge,Tech/Autonomous Cars,http://nutonomy.com/jobs,Unknown
Hyperloop One,US/CA/Los Angeles,Tech/Hyperloop,https://hyperloop-one.com/careers,Unknown
NavVis,DE/Munich,Tech/Indoor Navigation,http://www.navvis.com/company/careers/,True
World Bank,US/DC,Policy,http://www.worldbank.org/en/about/careers,True
SMA,CH/Zurich,Rail,http://www.sma-partner.com/en/jobs/current-positions,True
TTK,DE/Karlsruhe,Consulting,http://www.ttk.de/en/global/jobs.php?thisID=76,True
The Boring Company,US/CA/Los Angeles,Tunnels,https://www.boringcompany.com/jobs/,Unknown
Lyft,US/CA/San Francisco,Tech/App/Ride Share,https://www.lyft.com/jobs,Unknown
Konux,DE/Munich,Tech/Sensors,https://www.konux.com/career/,Unknown
Flixbus,DE/Munich,Tech/App/Bus,https://www.flixbus.com/company/jobs,True
Siemens,DE/Munich,Rail/Traffic,https://jobs.siemens-info.com/jobs,True
MaIOT,DE/Munich,Tech/Data Science/Trucking,http://maiot.io,Unknown
Convoy,US/WA/Seattle,Tech/App/Trucking,https://convoy.com,Unknown
RAIL.ONE,DE/Neumarkt,Rail/Track,http://www.railone.com/company/career/,Unknown
Max Bögl Group,DE/Sengenthal,Rail/Track,https://max-boegl.de/en/careers.html,True
Eno Center for Transportation,US/DC,Policy,https://www.enotrans.org/about-eno/work-with-eno/,True
Waze,IL/Tel Aviv,Tech/App/Navigation,https://careers.google.com/jobs#t=sq&q=j&l=false&j=waze,Unknown
Embark,US/CA/San Francisco,Tech/Self-Driving Trucks,https://jobs.lever.co/embark,Unknown
Infineon,DE/Neubiberg,Semiconductors,https://www.infineon.com/cms/en/careers/,Unknown
BlinkTag,US/CA/San Francisco,Tech,https://blinktag.com/contact/,Unknown
Here,US/IL/Chicago,Tech/Maps,https://here.com/en/careers/jobs#/,Unknown
DeepMap,US/CA/Palo Alto,Tech/Maps,https://www.deepmap.ai,Unknown
Civil Maps,US/CA/San Francisco,Tech/Maps,https://careers.jobscore.com/careers/civilmaps,Unknown
Sapphos Environmental,US/CA/Pasadena,Environmental Reports,http://www.sapphosenvironmental.com/Employment/current_openings.aspx,Unknown
TomTom,NL/Amsterdam,Tech/Maps,https://www.tomtom.com/careers/global,Unknown
AutoX,US/CA/San Francisco,Tech/Autonomous Cars,https://www.autox.ai,Unknown
Aurora,US/CA/Palo Alto,Tech/Autonomous Cars,https://aurora.tech/openings.html,Unknown
Qatar Ports Management Company,QA/Doha,Ports,http://www.mwani.com.qa/En/Career/Pages/JobDetails.aspx?Generalvacancy=true,Unknown
DP World,UAE/Dubai,Ports,http://web.dpworld.com/dpworldcareers.html,Unknown
Visteon,US/MI/Van Buren Township,Cars,https://www.visteon.com/careers/index.html,Unknown
"Ireland Department of Transport, Tourism and Sport",IE/Dublin,Policy,http://www.dttas.ie/about-us/2013/jobs-department,Unknown
ILF Consulting Engineers,DE/Munich,Design/Build,https://www.ilf.com/career/jobs/,True
Transport Infrastructure Ireland,IE/Dublin,Design/Build,http://www.tii.ie/Careers/,True
ZED,US/CA/Los Angeles,Tech/Trucking,https://zed-eld.com,Unknown
Irish Aviation Authority,IE/Dublin,Regulation,https://www.iaa.ie/careers/current-vacancies,Unknown
Joby Aviation,US/CA/Santa Cruz,Tech/Aviation,http://www.jobyaviation.com/careers/,Unknown
Blue Vision Labratories,UK/London,Tech/Computer Vision,http://www.bluevisionlabs.com,True
Wanderu,US/MA/Boston,Tech/App,https://www.wanderu.com/blog/wanderu-careers/,Unknown
Drivy,FR/Paris,Tech/Car Share,https://en.drivy.com/jobs,Unknown
Nexedi,FR/Lille,Tech/Data Science,https://www.nexedi.com/jobs,Unknown
door2door,DE/Berlin,Tech/App/Ride Share,https://www.door2door.io/jobs.html,Unknown
ZF Friedrichshafen,DE/Friedrichshafen,Tech/Autonomous Cars,https://www.zf.com/corporate/en_de/career/get_started_with_zf/get_started_with_zf.html,True
McLaren,UK/Surrey,Cars,http://www.mclaren.com/careers/,Unknown
Zenuity,DE/Munich,Tech/Machine Learning,https://www.zenuity.com/career/,True
Starsky Robotics,US/CA/San Francisco,Tech/Autonomous Trucks,https://jobs.lever.co/starskyrobotics/,Unknown
MapBox,US/Washington D.C.,Tech/Maps,https://www.mapbox.com/jobs/,Unknown
Zoox,US/CA/Menlo Park,Tech/Autonomous Cars,https://jobs.lever.co/zoox,Unknown
DPDHL,DE/Bonn,Shipping,https://www.dpdhl.jobs/,True
Lufthansa Consulting,DE/Frankfurt,Consulting,http://www.lhconsulting.com/career/career-opportunities/,True
drive.ai,US/CA/Mountain View,Tech/Autonomous Cars,https://www.drive.ai/careers/,Unknown
comma.ai,US/CA/San Francisco,Tech/Autonomous Cars,https://comma.ai/positions.html,Unknown
Acrai,DE,Tech/Auttonomous Robots,https://acrai.de,Unknown
Spare Labs,CA/Vancouver,Tech/Ride Share,https://angel.co/sparerides/jobs/,Unknown
Tensyr,US/CA/Mountain View,Tech/Autonomous Cars,http://www.tensyr.com/careers.html,Unknown
kiwi,US/CA/Berkeley,Tech/Autonomous Robots,https://kiwicampus.com,Unknown
Oxbotics,UK/Oxford,Tech/Autonomous Cars,https://www.oxbotica.ai/jobs-current/,Unknown
Osaro,US/CA/San Francisco,Tech/Artificial Intelligence,http://www.osaro.com/careers/,Unknown
Mott MacDonald,UK/Surrey,Consulting,https://www.mottmac.com/careers/,True
KCW,DE/Berlin,Consulting/Public Tranportation,https://www.kcw-online.de/en,Unknown
TankTaler,DE/Munich,Tech/App,https://www.tanktaler.de/jobs,Unknown
RSG,US/VT/White River Junction,Data,http://rsginc.com/connect-with-us/offices/,Unknown
Cohda Wireless,AU/North Adelaide,Communication/V2V,http://www.cohdawireless.com/contact-us/,Unknown
